id,Source,Intermediate1,Intermediate2,Intermediate3,Intermediate4,Destination,Status
134,Kaspate_Chowk,Akash_Towers,Pimple_Nilakh,Adarsh_Nagar,Hotel_Haveli,Aundh,safe
135,Aundh,Westend_Mall,Distric_Hospital,Military_Station,Vishal_Nagar,Kaspate_Chowk,unsafe
136,Aundh,Hotel_Haveli,Adarsh_Nagar,Pimple_Nilakh,Akash_Towers,Kaspate_Chowk,safe
137,Ambegaon_Bk,Katraj_Post_Office,Sai_Nagar,Ram_Mandir,Sun_City,Narhe,safe
138,Ambegaon_Bk,Jay_Bhavani_Chowk,Hotel_Purandar,Jambhulwadi_Lake,Engineers_Chai,Narhe,unsafe
139,Narhe,Engineers_Chai,Jambhulwadi_Lake,Hotel_Purandar,Jay_Bhavani_Chowk,Ambegaon_Bk,unsafe
140,Narhe,Sun_City,Ram_Mandir,Sai_Nagar,Katraj_Post_Office,Ambegaon_Bk,safe
141,Katraj,Ahilya_Devi_Chowk,City_Pride,Swargate_Bus_Depot,Dagdusheth_Mandir,Shaniwarda_Wada,safe
142,Katraj,Rajiv_Gandhi_Nagar,Aai_Mata_Chowk,Gultekdi_Chowk,Ganesh_Road,Shaniwarda_Wada,unsafe
143,Shaniwarda_Wada,Dagdusheth_Mandir,Swargate_Bus_Depot,City_Pride,Ahilya_Devi_Chowk,Katraj,safe
144,Shaniwarda_Wada,Ganesh_Road,Gultekdi_Chowk,Aai_Mata_Chowk,Rajiv_Gandhi_Nagar,Katraj,unsafe
145,Bavdhan,Chandani_Chowk,Kothrud,Erandwane,Deccan_Corner,FC_Road,safe
146,Bavdhan,Nobel_Hospital,DRDO_Office,Marido_Colony,Bahiratwadi,FC_Road,unsafe
147,FC_Road,Deccan_Corner,Erandwane,Kothrud,Chandani_Chowk,Bavdhan,safe
148,FC_Road,Bahiratwadi,Marido_Colony,DRDO_Office,Nobel_Hospital,Bavdhan,unsafe
149,Lohegaon,Pune_Airport,Jailroad_policestation,westin_busstop,Jahangir_nagar,Hadapsar,safe
150,Lohegaon,Vitthal_nagar,Kharadigaon,Mundhwa,Amanora_mall,Hadapsar,unsafe
151,Hadapsar,Jahangir_nagar,Westin_busstop,Jailroad_policestation,Pune_Airport,Lohegaon,safe
152,Hadapsar,Amnora_mall,Mundhwa,Kharadigaon,Vitthalnagar,Lohegaon,unsafe
153,Dhanori,Lohegaon,Dattamandir,Lifeline_hospital,Lonikand_policestation,Lonikand,safe
154,Dhanori,pragati_Garden,Kharadi_bypass_policestation,Jeevan_rakshak_hospital,vitthalwadi,Lonikand,safe
155,Lonikand,Lonikand_policestation,Lifeline_hospital,Dattamandir,Lohegaon,Dhanori,safe
156,Lonikand,vitthalwadi,Jeevan_rakshak_hospital,Kharadi_bypass_policestation,pragati_Garden,Dhanori,safe
157,alandi,kale_colony,Rahane_hospital,Dighi_PoliceStation,yerawada,koregaon_park,safe
158,alandi,bhosari,Dapodi,Khadaki,Rajiv_gandhi_hospital,koregaon_park,unsafe
159,koregaon_park,yerawada,Dighi_PoliceStation,Rahane_hospital,kale_colony,alandi,safe
160,koregaon_park,Rajiv_gandhi_hospital,Khadaki,Dapodi,bhosari,alandi,unsafe
161,Saswad,Dive,Fursungi,Malwadi,Aple_ghar,Wagholi,safe
162,Saswad,hiware,Bhivari,Pune_contonment,ramtekadi,Wagholi,unsafe
163,Wagholi,Aple_ghar,Malwadi,Fursungi,Dive,Saswad,safe
164,Wagholi,ramtekadi,Pune_contonment,Bhivari,hiware,Saswad,unsafe
165,Kalbor_Nagar,Star_Bazar,Akurdi_Chowk,Hanuman_Chowk,Mahlsakant_Chowk,Nigdi1,safe
166,Kalbor_Nagar,Vi_Mini_Store,Nigdi1_Flyover,Dyaneshwar_Chowk,Tukaram_Gardern,Nigdi1,unsafe
167,Nigdi1,Milk_Made,Ganga_Nagar,Jijanagar,Chikli_Road,Kalbor_Nagar,unsafe
168,Appu_Ghar,Bhakti_Shakti_Gardern,Durga_Tekdi,Radha_Krishna_Mandir,Chincholi_Road,Dehuroad,safe
169,Dehuroad,Chincholi,Pandharpur_Road,Datta_Mandir,Ulhas_Hotel,Mamurdi,safe
170,Dehuroad,Garrison_Engineer,Dehuroad_Police_Station,KM_Park,Bhairavnath_Mandir,Mamurdi,unsafe
171,Akurdi_Chowk,Force_Motor_Limited,Thermax_Chowk,Plantech_Consultants,Tata_Motors_Pimpri,Ksb_Chowk,safe
172,Akurdi_Chowk,Seasons_Banquets,DTDC_Courier,Finolex_Pipes,Mahalaxmi_Madir,Ksb_Chowk,safe
173,Chikali,Moshi,Ashok_Leyland,Kishor_Pumps,Nanekarwadi,Chakan,unsafe
174,Tukaram_Nagar,Mahlunge,Kalumbre,Sudhvadi,Vatan_Nagar,Chakan,safe
175,Tukaram_Nagar,Talegaon_Dhabade,Radha_Krishna_Mandir,Moshi,Alandi_Fata,Chakan,safe
176,Chakan,Biradvadi,Pandurang_Mandir,Delish_Veggies,Shani_Temple,Tukaram_Nagar,unsafe
177,Chimbali,Moshi,Borhade_Wadi,Seasons_Banquets,Nigdi1_Chowk,Pradhikaran,unsafe
178,Chimbali,Dehu_Moshi_Road,Moga_Market,Shree_Ganesh_Infotech,Dyaneshwar_Chowk,Pradhikaran,unsafe
179,Wadmukhwadi,Alandi,Bhosri,Vallabnagar,Kharalwadi,Pimpri,safe
180,Wadmukhwadi,Alankapuram,Spine,Datta_Dev_Temple,Nehru_Nagar,Pimpri,safe
